model_key,mode,dataset,collapse_point
deepseek_r1d_qwen32b,direct,clutrr,2.0
deepseek_r1d_qwen32b,direct,proofwriter,1.0
deepseek_r1d_qwen32b,reasoning,clutrr,2.0
deepseek_r1d_qwen32b,reasoning,proofwriter,1.0
glm45_air,direct,clutrr,2.0
glm45_air,direct,proofwriter,1.0
glm45_air,reasoning,clutrr,2.0
glm45_air,reasoning,proofwriter,1.0
gpt5,direct,clutrr,2.0
gpt5,direct,proofwriter,
gpt5,reasoning,clutrr,2.0
gpt5,reasoning,proofwriter,1.0
llama31_8b,direct,clutrr,2.0
llama31_8b,direct,proofwriter,2.0
llama31_8b,reasoning,clutrr,2.0
llama31_8b,reasoning,proofwriter,2.0
qwen25_7b,direct,clutrr,2.0
qwen25_7b,direct,proofwriter,1.0
qwen25_7b,reasoning,clutrr,2.0
qwen25_7b,reasoning,proofwriter,1.0
