model_key,dataset,depth,delta
deepseek_r1d_qwen32b,clutrr,2,0.1
deepseek_r1d_qwen32b,clutrr,3,0.0
deepseek_r1d_qwen32b,clutrr,4,0.0
deepseek_r1d_qwen32b,clutrr,5,0.0
deepseek_r1d_qwen32b,clutrr,6,0.1
deepseek_r1d_qwen32b,proofwriter,1,0.0
deepseek_r1d_qwen32b,proofwriter,2,0.0
deepseek_r1d_qwen32b,proofwriter,3,0.0
deepseek_r1d_qwen32b,proofwriter,4,0.0
deepseek_r1d_qwen32b,proofwriter,5,0.0
glm45_air,clutrr,2,-0.1
glm45_air,clutrr,3,-0.1
glm45_air,clutrr,4,0.0
glm45_air,clutrr,5,0.0
glm45_air,clutrr,6,0.0
glm45_air,proofwriter,1,0.0
glm45_air,proofwriter,2,0.0
glm45_air,proofwriter,3,0.0
glm45_air,proofwriter,4,0.0
glm45_air,proofwriter,5,0.0
gpt5,clutrr,2,0.1
gpt5,clutrr,3,-0.1
gpt5,clutrr,4,-0.1
gpt5,clutrr,5,-0.1
gpt5,clutrr,6,-0.1
gpt5,proofwriter,1,-0.3
gpt5,proofwriter,2,-0.39999999999999997
gpt5,proofwriter,3,-0.7000000000000001
gpt5,proofwriter,4,-0.9
gpt5,proofwriter,5,-0.8
llama31_8b,clutrr,2,0.09999999999999998
llama31_8b,clutrr,3,0.0
llama31_8b,clutrr,4,0.0
llama31_8b,clutrr,5,0.0
llama31_8b,clutrr,6,0.0
llama31_8b,proofwriter,1,0.0
llama31_8b,proofwriter,2,0.0
llama31_8b,proofwriter,3,0.0
llama31_8b,proofwriter,4,0.09999999999999998
llama31_8b,proofwriter,5,-0.09999999999999998
qwen25_7b,clutrr,2,0.0
qwen25_7b,clutrr,3,0.0
qwen25_7b,clutrr,4,0.2
qwen25_7b,clutrr,5,-0.3
qwen25_7b,clutrr,6,0.0
qwen25_7b,proofwriter,1,-0.10000000000000003
qwen25_7b,proofwriter,2,-0.09999999999999998
qwen25_7b,proofwriter,3,0.0
qwen25_7b,proofwriter,4,0.10000000000000003
qwen25_7b,proofwriter,5,-0.09999999999999998
